,,,,Prey Energy Density,,,,,,,,,,,,,,,,,,,
,,,,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7,Species 8,Species 9,Species 10,Species 11,Species 12,Species 13,Species 14,Species 15,Species 16,Species 17,Species 18,Species 19,Species 20
,,,,3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Prey % of Diet,,,,,,,,,,,,,,,,,,,
Site,Day,Temp,P-Val,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7,Species 8,Species 9,Species 10,Species 11,Species 12,Species 13,Species 14,Species 15,Species 16,Species 17,Species 18,Species 19,Species 20
1,1,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,9.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,9.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,9.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,9,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,8.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,8,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,8,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,8,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,34,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,49,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,8,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,54,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56,6,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,58,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,7.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,63,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,66,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,67,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,68,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,69,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,70,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,71,7,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,72,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,6,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,74,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,75,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,77,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,78,6,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,79,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,80,6,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,81,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,82,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,83,6,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,85,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,86,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,87,6,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,88,6.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,89,6,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,90,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,91,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,92,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,93,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,94,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,95,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,97,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,98,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,99,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,108,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,109,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,110,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,111,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,113,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,114,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,115,5.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,116,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,117,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,118,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,119,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,120,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,121,4,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,122,3.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,123,3.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,124,3.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,125,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,126,4,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,127,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,128,5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,129,4.5,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
